LogID,LogEntryDate,LogEntryTime,LogEntrySeconds,TPS,AFRMAP,Speed,MAP_4BAR,Battery,Load1B,RPM,CoolantTemp,TimingAdv,AirTemp,WB02_AEM
3831,8/4/2019,55:39.5,264.05628,100,11.2,73.3218016,23.704,14.15269,288,6218.75,199.4,5,96.8,11.25
3832,8/4/2019,55:39.5,264.11606,100,11.2,73.3218016,23.704,14.07936,291.6,6218.75,199.4,4,96.8,11.25
3833,8/4/2019,55:39.6,264.18793,100,11.2,73.3218016,23.9409,14.15269,286.2,6281.25,199.4,5,96.8,11.3
3834,8/4/2019,55:39.7,264.28546,100,11.2,73.3218016,24.1778,14.07936,288,6406.25,199.4,6,96.8,11.35
3835,8/4/2019,55:39.8,264.3428,100,11.2,73.3218016,24.1778,14.15269,289.8,6406.25,199.4,6,96.8,11.3
3836,8/4/2019,55:39.8,264.41253,100,11.2,73.3218016,23.9409,14.15269,288,6531.25,199.4,6,96.8,11.25
3837,8/4/2019,55:39.9,264.46742,100,11.2,73.3218016,23.9409,14.15269,289.8,6500,199.4,6,96.8,11.25
3838,8/4/2019,55:40.0,264.54515,100,11.2,80.778256,23.9409,14.22602,289.8,6593.75,199.4,5,96.8,11.25
3839,8/4/2019,55:40.0,264.60033,100,11.2,80.778256,23.704,14.15269,286.2,6656.25,199.4,6,96.8,11.25
3840,8/4/2019,55:40.1,264.67048,100,11.2,80.778256,23.9409,14.00603,293.4,6687.5,199.4,6,96.8,11.2
3841,8/4/2019,55:40.1,264.72737,100,11.2,80.778256,23.9409,14.22602,288,6718.75,199.4,7,96.8,11.2
3842,8/4/2019,55:40.2,264.79738,100,11.2,80.778256,23.9409,14.07936,291.6,6812.5,199.4,7,96.8,11.15
3843,8/4/2019,55:40.3,264.88063,100,11.2,80.778256,23.9409,14.15269,291.6,6843.75,199.4,7,96.8,11.1
3844,8/4/2019,55:40.3,264.92185,100,11.2,80.778256,24.1778,14.07936,291.6,6906.25,199.4,8,96.8,11.1
3845,8/4/2019,55:40.4,264.98236,100,11.2,80.778256,23.9409,14.29935,289.8,6937.5,199.4,7,96.8,11.05
3846,8/4/2019,55:40.5,265.03895,100,11.2,80.778256,24.1778,14.15269,291.6,6937.5,203,7,96.8,11.05
3847,8/4/2019,55:40.5,265.09427,100,11.2,80.778256,24.1778,14.07936,293.4,6968.75,199.4,7,96.8,11.05
3848,8/4/2019,55:40.6,265.17716,100,11.2,80.778256,24.1778,14.22602,291.6,7031.25,203,7,96.8,11
